Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Canada,CAN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,101.3911896,101.7282486,101.9034882,102.3444366,102.7344437,102.3984833,103.3489609,109.9874878,109.4859924,109.3330994,110.3565292,112.5142822,113.7628632,114.1235123,114.3332672,..
Canada,CAN,"School enrollment, primary (% gross)",SE.PRM.ENRR,97.36457062,98.88063049,98.96647644,98.01331329,99.00879669,98.64160156,98.1893692,99.51828003,100.3407135,101.5366592,102.4850769,101.0238724,100.9436798,101.501091,100.9897537,..
Canada,CAN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,..,..,63.60005951,63.76739883,63.0657692,61.65584946,63.46731949,63.98077011,65.33229828,65.61290741,64.78695679,66.43917847,68.92250824,70.11302185,75.69882202,..
Canada,CAN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,"Compulsory education, duration (years)",SE.COM.DURS,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Canada,CAN,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,95.3928299,93.77896881,93.57315063,92.44956207,90.92619324,90.28829956,89.55126953,..,92.22820282,..,..,..,..,..,..,..
Canada,CAN,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..,..,..,..,..,..,..,..,..,..,..,25.75444031,..,..,..,..
Canada,CAN,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,..,55.98192978,..,..,..,..,59.64030838,..,..,..,..,60.41429901,..,..,..,..
Canada,CAN,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS,..,43.86326981,..,..,..,..,47.67456818,..,..,..,..,49.66761017,..,..,..,..
Canada,CAN,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,..,79.40338898,..,..,..,..,82.74899292,..,..,..,..,84.4691925,..,..,..,..
Canada,CAN,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.MS.ZS,..,..,..,..,..,..,..,..,..,..,..,7.098740101,..,..,..,..
Canada,CAN,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS,..,..,..,..,..,..,..,..,..,..,..,0.946200013,..,..,..,..
Canada,CAN,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,Expenditure on secondary education (% of government expenditure on education),SE.XPD.SECO.ZS,..,..,..,..,..,..,26.40425,..,..,..,..,..,..,..,..,..
Canada,CAN,Expenditure on tertiary education (% of government expenditure on education),SE.XPD.TERT.ZS,..,..,36.81221,34.44431,36.06861,35.38945,35.5994,..,..,..,..,..,..,..,..,..
Canada,CAN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.765880108,..,4.766409874,4.62612009,4.840579987,5.356369972,5.262050152,..,..,..,..,..,..,..,..,..
United States,USA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,95.0524826,..,..,..,..,..,..,..,96.18649292,96.92453766,97.65254974,98.76992798,98.95233917,99.27558136,100.0634308,..
United States,USA,"School enrollment, primary (% gross)",SE.PRM.ENRR,101.8740234,..,..,..,..,..,..,..,99.45543671,99.67337799,100.2999115,101.3628616,101.8214417,101.2565613,100.9813004,..
United States,USA,"School enrollment, tertiary (% gross)",SE.TER.ENRR,80.63482666,..,..,..,..,..,..,..,88.72641754,88.6268692,88.88941193,88.83505249,88.16738892,88.29917908,87.88871002,..
United States,USA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"Compulsory education, duration (years)",SE.COM.DURS,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
United States,USA,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
United States,USA,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..,..,..,..,..,..,..,..,31.66065979,31.9557991,32.50075912,33.43968964,..,34.99246979,..,37.52428818
United States,USA,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,93.69587708,94.18916321,..,94.48554993,94.53521729,94.76950073,94.90273285,94.98448944,95.20452881,95.26347351,95.33496857,95.58524323,..,96.02937317,..,96.46076965
United States,USA,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,45.16791153,..,..
United States,USA,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,98.42295837,98.54376984,..,98.67672729,98.59417725,98.68843079,98.71730042,98.79048157,98.86701965,98.79341125,98.77388,98.87711334,..,99.03153229,..,99.0557785
United States,USA,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS,36.22993851,37.36785126,..,38.25891113,38.6207695,39.13742065,39.94493866,40.6632309,41.50466919,41.88970184,42.33750916,43.51187897,..,45.16791153,..,48.08916855
United States,USA,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,85.19178009,85.72322845,..,86.61412811,86.70908356,87.14940643,87.59088898,87.67910004,88.1503067,88.31358337,88.41197205,89.09236145,..,89.80535889,..,90.94052124
United States,USA,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.MS.ZS,..,..,..,..,..,..,..,..,11.56643963,11.76535988,11.99485016,12.61400986,..,13.05037975,..,14.13860035
United States,USA,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS,..,..,..,..,..,..,..,..,1.677160025,1.76947999,1.701310039,1.85371995,..,2.032649994,..,2.088550091
United States,USA,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,..,..,..,..,..,..,..,..,31.10906,30.96455,..,..,..,..,..,..
United States,USA,Expenditure on secondary education (% of government expenditure on education),SE.XPD.SECO.ZS,..,..,..,..,..,..,..,..,35.16779,34.55486,..,..,..,..,..,..
United States,USA,Expenditure on tertiary education (% of government expenditure on education),SE.XPD.TERT.ZS,..,..,..,..,..,..,..,..,27.22716,27.50228,..,..,..,..,..,..
United States,USA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mexico,MEX,"School enrollment, secondary (% gross)",SE.SEC.ENRR,82.30407715,84.08560181,84.90705109,86.42752838,85.93801117,87.0699234,88.19017792,90.66719818,93.3275528,97.34338379,100.8327408,102.4040604,104.3850327,105.103363,104.6472397,..
Mexico,MEX,"School enrollment, primary (% gross)",SE.PRM.ENRR,108.6008377,108.1747665,108.7997131,109.4244232,110.5452805,110.6334915,110.5407562,110.4134521,109.4414825,108.0057526,106.6061096,106.2777328,105.7700119,105.0280685,104.6558228,..
Mexico,MEX,"School enrollment, tertiary (% gross)",SE.TER.ENRR,24.21640015,24.79043007,25.42106056,26.11203003,26.58672905,27.56347084,28.34149933,29.4718399,30.30003929,31.0941391,31.8190403,38.43338013,40.22895813,41.52280045,42.83069992,..
Mexico,MEX,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,91.63027191,91.73451996,92.79517365,92.92559814,93.44187927,93.06893921,93.51998138,94.22840118,93.96285248,94.55587769,94.47228241,94.85961914,94.97277832,95.37991333,..,95.24784851
Mexico,MEX,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,97.63584137,97.8956604,98.15608978,98.38230133,98.5246582,98.43451691,98.4617691,98.87541962,98.5644989,99.00003815,98.94470978,99.11620331,99.12468719,99.31845093,..,99.08241272
Mexico,MEX,"Compulsory education, duration (years)",SE.COM.DURS,11,11,11,11,11,11,11,14,14,14,14,14,14,14,14,14
Mexico,MEX,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,96.90300751,96.76209259,96.87026978,96.53112793,95.91716003,96.08216858,96.09745789,96.39357758,95.60961151,95.70480347,96.94082642,96.69358063,97.58412933,97.87104034,..,..
Mexico,MEX,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..,..,..,..,..,12.76121998,..,..,14.3226099,13.95713043,14.77964973,14.71039009,15.37425995,16.01605988,..,17.12846947
Mexico,MEX,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,47.67649078,51.79719162,51.81230164,52.8056488,54.36455917,53.08692169,..,58.01192093,56.55838013,57.48696899,59.53876114,59.71266937,61.1710701,63.23591995,..,65.84581757
Mexico,MEX,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,..,..,..,..,..,..,..,..,..,..,..,15.15322971,15.82328033,16.44959068,..,18.77145958
Mexico,MEX,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,70.89231873,70.75415802,71.84829712,72.6784668,74.40158844,74.74189758,..,77.18234253,78.10623932,78.78381348,79.22939301,80.11215973,81.41558075,82.75337219,..,83.46855164
Mexico,MEX,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS,12.10781956,14.91232967,14.44717979,14.46253014,15.47879028,14.42383957,..,16.31269073,14.77680016,14.43192959,16.27255058,15.15322971,15.82328033,16.44959068,..,18.77145958
Mexico,MEX,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,25.87863922,30.26074982,30.20545959,30.34551048,31.35026932,29.20441055,..,33.79750824,31.6299305,31.7997303,33.34621811,33.29468918,34.10905075,35.65462875,..,38.56058121
Mexico,MEX,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.MS.ZS,..,..,..,..,..,1.311210036,..,..,1.28283,1.244339943,2.087739944,1.395419955,1.442819953,1.512699962,..,2.453609943
Mexico,MEX,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS,..,..,..,..,..,0.142680004,..,..,0.085040003,0.084020004,0.224769995,0.07626,0.076810002,0.082970001,..,0.313980013
Mexico,MEX,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,39.0791,38.82099,38.24865,37.20858,36.21646,35.98383,35.50244,34.66095,37.75482,32.75753,32.46972,32.45208,..,..,..,..
Mexico,MEX,Expenditure on secondary education (% of government expenditure on education),SE.XPD.SECO.ZS,30.26007,29.79115,29.49101,28.71158,30.24801,30.25379,30.66226,31.36863,35.20388,31.9821,32.31004,32.94466,..,..,..,..
Mexico,MEX,Expenditure on tertiary education (% of government expenditure on education),SE.XPD.TERT.ZS,17.45499,17.19888,18.47466,18.86044,20.00251,19.6634,18.12508,19.46464,22.09098,21.32413,21.47549,21.091,..,..,..,..
Mexico,MEX,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.845689774,4.699920177,4.690509796,4.82006979,5.187940121,5.159220219,5.105649948,5.103099823,4.696050167,5.257470131,5.229420185,4.90681982,4.518219948,4.254429817,..,..
"Iran, Islamic Rep.",IRN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,77.23351288,78.49475098,78.09741211,81.01423645,82.16120911,80.58795929,82.99124908,84.9821167,83.83139801,85.27626038,85.86942291,86.86631775,86.31149292,..,..,..
"Iran, Islamic Rep.",IRN,"School enrollment, primary (% gross)",SE.PRM.ENRR,99.19589996,99.76322174,100.3732605,101.1464767,101.8525772,100.6534424,100.7328033,101.4610596,115.0664978,107.5530319,108.9007034,111.2355728,110.7075424,..,..,..
"Iran, Islamic Rep.",IRN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,23.80201912,26.53152084,31.21858025,37.70845032,37.91297913,44.16965866,50.00553131,56.42695999,59.27872849,67.31977081,72.96105194,69.63565826,68.11608887,62.78507996,60.39419174,58.2224884
