Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
United States,USA,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,80.1,80.3,80.6,80.6,80.9,81,81.1,81.2,81.2,81.3,81.2,81.1,81.1,81.2,81.4,..
Canada,CAN,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,82.6,82.7,82.9,83,83.3,83.5,83.6,83.8,83.9,83.9,84,84,84,84.2,84.2,..
Mexico,MEX,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,77.999,78.035,78.039,78.026,78.004,77.979,77.952,77.922,77.89,77.86,77.837,77.826,77.827,77.844,77.879,..
Central African Republic,CAF,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,45.972,46.432,46.966,47.545,48.152,48.792,49.484,50.242,51.065,51.928,52.793,53.614,54.354,54.991,55.514,..
Chad,TCD,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,49.731,50.096,50.54,51.049,51.608,52.188,52.759,53.294,53.777,54.196,54.552,54.856,55.132,55.4,55.669,..
Mali,MLI,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,52.683,53.461,54.173,54.812,55.375,55.871,56.326,56.769,57.225,57.7,58.194,58.695,59.185,59.649,60.085,..
"Iran, Islamic Rep.",IRN,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,73.502,73.934,74.344,74.73,75.092,75.431,75.753,76.06,76.357,76.645,76.922,77.187,77.436,77.668,77.885,..
Ukraine,UKR,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,73.97,74.06,74.22,74.28,74.86,75.5,75.88,76.02,76.22,76.37,76.25,76.46,76.78,76.72,76.98,..
Thailand,THA,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,75.619,75.981,76.383,76.815,77.265,77.725,78.186,78.64,79.078,79.49,79.863,80.189,80.468,80.704,80.9,..
United States,USA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,75,75.2,75.5,75.6,76,76.2,76.3,76.4,76.4,76.5,76.3,76.1,76.1,76.2,76.3,..
Canada,CAN,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,77.9,78.1,78.3,78.5,78.8,79.1,79.4,79.6,79.7,79.8,79.9,79.9,79.9,80,80,..
Mexico,MEX,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,72.575,72.532,72.447,72.342,72.233,72.135,72.056,71.997,71.958,71.943,71.954,71.99,72.046,72.118,72.203,..
Central African Republic,CAF,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,43.5,43.868,44.291,44.763,45.273,45.82,46.406,47.029,47.678,48.338,48.985,49.594,50.152,50.649,51.081,..
Chad,TCD,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,47.376,47.725,48.138,48.599,49.095,49.604,50.105,50.579,51.014,51.403,51.743,52.041,52.315,52.577,52.835,..
Mali,MLI,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,51.429,52.212,52.926,53.566,54.127,54.62,55.065,55.491,55.922,56.364,56.818,57.275,57.718,58.137,58.529,..
"Iran, Islamic Rep.",IRN,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,70.438,70.698,71.03,71.443,71.934,72.476,73.035,73.566,74.038,74.435,74.755,75.007,75.217,75.409,75.593,..
Ukraine,UKR,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,62.23,62.38,62.51,62.51,63.79,65.28,65.98,66.11,66.34,66.25,66.37,66.73,67.02,66.69,66.92,..
Thailand,THA,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,68.71,69.138,69.563,69.978,70.374,70.749,71.104,71.446,71.779,72.102,72.412,72.704,72.977,73.228,73.46,..
United States,USA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.48780488,77.68780488,77.98780488,78.03902439,78.3902439,78.54146341,78.64146341,78.74146341,78.74146341,78.84146341,78.6902439,78.53902439,78.53902439,78.63902439,78.78780488,..
Canada,CAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,80.19268293,80.34390244,80.54390244,80.69512195,80.99512195,81.24634146,81.44878049,81.64878049,81.74878049,81.8,81.9,81.9,81.9,82.04878049,82.04878049,..
Mexico,MEX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.3,75.296,75.255,75.194,75.128,75.065,75.011,74.966,74.93,74.908,74.904,74.917,74.947,74.992,75.054,..
Central African Republic,CAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,44.744,45.158,45.636,46.161,46.719,47.312,47.95,48.638,49.371,50.129,50.881,51.593,52.24,52.805,53.283,..
Chad,TCD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,48.549,48.907,49.335,49.82,50.346,50.89,51.424,51.928,52.386,52.789,53.137,53.438,53.712,53.977,54.239,..
Mali,MLI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.057,52.839,53.553,54.193,54.756,55.251,55.701,56.135,56.578,57.036,57.509,57.987,58.452,58.893,59.306,..
"Iran, Islamic Rep.",IRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.917,72.257,72.626,73.027,73.457,73.905,74.352,74.776,75.162,75.502,75.796,76.047,76.271,76.479,76.677,..
Ukraine,UKR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.95682927,68.07756098,68.22219512,68.25146341,69.19,70.26536585,70.80926829,70.94414634,71.1595122,71.18658537,71.1895122,71.47634146,71.78097561,71.58268293,71.82731707,..
Thailand,THA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.099,72.499,72.916,73.341,73.766,74.184,74.593,74.992,75.378,75.747,76.091,76.403,76.683,76.931,77.15,..
United States,USA,Net migration,SM.POP.NETM,..,..,5428756,..,..,..,..,4961716,..,..,..,..,4774029,..,..,..
Canada,CAN,Net migration,SM.POP.NETM,..,..,1326431,..,..,..,..,1241416,..,..,..,..,1210159,..,..,..
Mexico,MEX,Net migration,SM.POP.NETM,..,..,-562404,..,..,..,..,-422477,..,..,..,..,-300000,..,..,..
Central African Republic,CAF,Net migration,SM.POP.NETM,..,..,-125614,..,..,..,..,-396129,..,..,..,..,-200000,..,..,..
Chad,TCD,Net migration,SM.POP.NETM,..,..,75000,..,..,..,..,100000,..,..,..,..,10000,..,..,..
Mali,MLI,Net migration,SM.POP.NETM,..,..,-100823,..,..,..,..,-302449,..,..,..,..,-200000,..,..,..
"Iran, Islamic Rep.",IRN,Net migration,SM.POP.NETM,..,..,-576900,..,..,..,..,-502345,..,..,..,..,-274998,..,..,..
Ukraine,UKR,Net migration,SM.POP.NETM,..,..,269541,..,..,..,..,132154,..,..,..,..,50001,..,..,..
Thailand,THA,Net migration,SM.POP.NETM,..,..,59008,..,..,..,..,167314,..,..,..,..,97222,..,..,..
United States,USA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,79.928,80.099,80.269,80.438,80.606,80.772,80.944,81.119,81.299,81.483,81.671,81.862,82.058,82.256,82.459,82.664
Canada,CAN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.122,80.213,80.396,80.578,80.758,80.937,81.096,81.137,81.178,81.218,81.259,81.3,81.35,81.411,81.482,81.562
Mexico,MEX,Urban population (% of total population),SP.URB.TOTL.IN.ZS,76.308,76.616,76.92,77.222,77.52,77.815,78.111,78.405,78.699,78.993,79.285,79.577,79.867,80.156,80.444,80.731
Central African Republic,CAF,Urban population (% of total population),SP.URB.TOTL.IN.ZS,38.069,38.193,38.339,38.506,38.694,38.904,39.135,39.388,39.663,39.959,40.277,40.618,40.98,41.364,41.77,42.198
Chad,TCD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,21.801,21.834,21.868,21.901,21.934,21.985,22.054,22.142,22.248,22.372,22.515,22.677,22.858,23.059,23.279,23.52
Mali,MLI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,32.06,32.832,33.612,34.403,35.2,35.999,36.799,37.599,38.398,39.196,39.991,40.783,41.572,42.356,43.136,43.909
"Iran, Islamic Rep.",IRN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,67.558,68.239,68.864,69.458,70.045,70.626,71.2,71.755,72.295,72.83,73.358,73.88,74.394,74.898,75.391,75.874
Ukraine,UKR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,67.79,67.969,68.147,68.325,68.502,68.596,68.689,68.782,68.875,68.968,69.061,69.154,69.246,69.352,69.473,69.608
Thailand,THA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,37.411,38.673,39.95,41.242,42.543,43.856,44.698,45.445,46.193,46.943,47.694,48.448,49.2,49.949,50.692,51.43
United States,USA,Urban population growth (annual %),SP.URB.GROW,1.135884591,1.17796816,1.163067761,1.156185671,1.085290294,1.035344801,0.939505411,0.949565508,0.914510414,0.959430782,0.966674782,0.958268061,0.87178526,0.76743743,0.701867775,0.599210762
Canada,CAN,Urban population growth (annual %),SP.URB.GROW,1.040618588,1.123846755,1.199018842,1.309029905,1.364893948,1.333268714,1.174952642,1.136362333,1.107109995,1.05460142,0.796807975,1.182792155,1.261162007,1.487505987,1.502188206,1.187724304
Mexico,MEX,Urban population growth (annual %),SP.URB.GROW,1.824208785,1.859028134,1.882062923,1.887215566,1.86191342,1.817966315,1.774457245,1.730975308,1.689832343,1.650565264,1.610136046,1.570874888,1.527731482,1.487613001,1.450022972,1.414374776
Central African Republic,CAF,Urban population growth (annual %),SP.URB.GROW,2.233861857,2.279382856,2.303915292,2.213931633,1.979484611,1.667794927,1.315962796,1.045844486,0.955354712,1.107669499,1.440159888,1.828879582,2.164758391,2.451790494,2.651410602,2.786312522
Chad,TCD,Urban population growth (annual %),SP.URB.GROW,3.801321011,3.659425162,3.548699443,3.474115244,3.462146574,3.566910172,3.676889587,3.768992217,3.828653677,3.852700209,3.859156691,3.860875325,3.872502696,3.899007628,3.935693001,3.989289261
Mali,MLI,Urban population growth (annual %),SP.URB.GROW,5.632144158,5.673725985,5.685290302,5.65517898,5.551358564,5.403143331,5.242566982,5.103184949,5.003841478,4.958870859,4.943969248,4.936534482,4.915347791,4.876388544,4.821039327,4.747183309
"Iran, Islamic Rep.",IRN,Urban population growth (annual %),SP.URB.GROW,2.19452411,2.13244575,2.013599074,1.952075398,1.950502905,1.968197199,1.98527538,1.981644897,1.989161526,2.015421144,2.038681,2.065285466,2.078646449,2.06166852,2.008361012,1.931643079
Ukraine,UKR,Urban population growth (annual %),SP.URB.GROW,-0.447694616,-0.412356449,-0.335328946,-0.280635586,-0.185120842,-0.260137167,-0.224115233,-0.11167546,-0.092571498,-0.344325218,-0.126495181,-0.19676007,-0.253397877,-0.313465038,-0.356674336,-0.374120953
